frame,w,x,y,z,euler_x,euler_y,euler_z
4443,0.8697771,-0.4707429,0.03621795,0.02402201,303.1365,4.323635,0.8223906
4444,0.8723053,-0.4661526,0.03411869,0.0249208,303.7379,3.823005,1.228364
4445,0.8753365,-0.4605251,0.0330494,0.02470092,304.4775,3.628377,1.322421
4446,0.8761203,-0.4590345,0.03360674,0.02389954,304.6749,3.799509,1.133001
4447,0.8778877,-0.4556774,0.03465304,0.02168405,305.122,4.178443,0.6596538
4448,0.8970073,-0.4164832,0.03869185,0.02055596,310.1776,4.744124,0.4212736
4449,0.8990923,-0.4123367,0.03300751,0.02284473,310.7005,3.63477,1.242605
4450,0.9009733,-0.4082512,0.03357428,0.02122731,311.2261,3.832348,0.9614338
4451,0.9028215,-0.4038263,0.03642932,0.02259114,311.7784,4.174781,0.9977314
4452,0.9050222,-0.3988234,0.0372844,0.02200353,312.4136,4.332627,0.8744457
4453,0.9083714,-0.3911602,0.03711329,0.02185088,313.3816,4.288176,0.9076703
4454,0.9165176,-0.3712486,0.03992214,0.02399655,315.8647,4.514515,1.168609
4455,0.9188435,-0.3653558,0.04242545,0.02101324,316.6123,5.043518,0.6126404
4456,0.9215471,-0.3591672,0.03788204,0.0177404,317.4012,4.538011,0.4356668
4457,0.9224559,-0.357037,0.03425379,0.0206442,317.6554,3.835668,1.077989
4458,0.9254586,-0.3487574,0.03412958,0.02701026,318.6562,3.454352,2.039802
4459,0.9408951,-0.304841,0.0386457,0.01717231,324.0762,4.49914,0.6319606
4460,0.9476632,-0.2835805,0.03551683,0.01597028,326.6601,4.080503,0.7085999
4461,0.9487418,-0.2790074,0.0415448,0.01782768,327.1987,4.79675,0.7404459
4462,0.9494325,-0.2765973,0.04175709,0.0181134,327.4875,4.808261,0.7831259
4463,0.9502051,-0.2740245,0.04047168,0.01956415,327.7914,4.578541,1.036494
4464,0.9540757,-0.2602542,0.03989039,0.02039266,329.4427,4.451703,1.232305
4465,0.9579071,-0.246286,0.0371611,0.01938784,331.1225,4.119343,1.25793
4466,0.9610347,-0.2343389,0.03442602,0.01767489,332.558,3.81618,1.175187
4467,0.964195,-0.2200952,0.03885799,0.01939142,334.2383,4.314415,1.317242
4468,0.9673432,-0.2054243,0.03998435,0.02119097,335.9664,4.398989,1.573063
4469,0.9694287,-0.1956133,0.03898145,0.02058978,337.1298,4.288636,1.565591
4470,0.9708712,-0.1887739,0.03881201,0.01633728,337.9556,4.368793,1.07674
4471,0.9710411,-0.1879782,0.03916607,0.01446084,338.0575,4.456195,0.842088
4472,0.9721891,-0.1819087,0.0398195,0.01310746,338.778,4.561648,0.6898456
4473,0.9732491,-0.1764406,0.03842453,0.01335069,339.4211,4.380899,0.7761412
4474,0.9732836,-0.1765292,0.03651736,0.01492528,339.4055,4.114044,1.009368
4475,0.9745553,-0.1696197,0.03582972,0.01368239,340.2233,4.053887,0.9017636
4476,0.9746662,-0.1684154,0.03802853,0.01468437,340.3583,4.298786,0.9818322
4477,0.9747658,-0.1678888,0.03793545,0.01434304,340.4217,4.294361,0.9447533
4478,0.9754515,-0.1640127,0.03738992,0.01399984,340.8786,4.233404,0.9311674
4479,0.9754099,-0.1641062,0.0378369,0.01459294,340.8646,4.275439,0.9932731
4480,0.9759475,-0.1606454,0.03854114,0.01529305,341.2666,4.345091,1.078432
4481,0.9764706,-0.1574332,0.03831283,0.01587136,341.6408,4.305329,1.166327
4482,0.9773163,-0.1526263,0.03603988,0.01609614,342.2057,4.02711,1.256446
4483,0.9775868,-0.1507808,0.03682377,0.01526804,342.4243,4.136645,1.149795
4484,0.9775969,-0.1504624,0.03788705,0.01514957,342.4608,4.266458,1.117191
4485,0.9778135,-0.1488858,0.03807693,0.01623675,342.6403,4.269117,1.250613
4486,0.9778086,-0.1489599,0.03766437,0.01681124,342.6297,4.20912,1.326701
4487,0.9780842,-0.1471547,0.03729641,0.01748137,342.8386,4.153081,1.420953
4488,0.9784012,-0.1452792,0.03649003,0.01712906,343.0606,4.063192,1.400673
4489,0.9781309,-0.1469834,0.03680566,0.0173455,342.8599,4.096745,1.414234
4490,0.9768895,-0.1547817,0.03712151,0.01874413,341.9407,4.106722,1.545571
4491,0.974793,-0.1677736,0.03478038,0.02051309,340.4141,3.783441,1.757789
4492,0.9737402,-0.1738107,0.03473665,0.02032214,339.7057,3.779253,1.714568
4493,0.9728201,-0.1784383,0.03695591,0.02036927,339.1576,4.046761,1.654445
4494,0.9724922,-0.1800607,0.03772533,0.02034265,338.9656,4.140872,1.627609
4495,0.9720985,-0.1822037,0.03745284,0.02057851,338.7129,4.101872,1.654254
4496,0.9725696,-0.1797998,0.03742684,0.01947931,339.0004,4.123974,1.530178
4497,0.9727107,-0.1795876,0.03624761,0.01637829,339.0401,4.049977,1.17983
4498,0.9725815,-0.1805503,0.03564017,0.0147121,338.9344,4.013861,0.9866792
4499,0.9696146,-0.1961816,0.03276894,0.0169159,337.0868,3.614627,1.266175
4500,0.9642091,-0.2210945,0.02945733,0.02345727,334.1209,3.018722,2.093507
4501,0.9611992,-0.2330728,0.03482832,0.02367131,332.6848,3.682175,1.926438
4502,0.9592943,-0.2407377,0.03479431,0.02426768,331.7691,3.656959,1.978348
4503,0.9562256,-0.2527001,0.03434541,0.02440011,330.3401,3.591895,1.972094
4504,0.9523254,-0.2666025,0.0359427,0.0265958,328.6611,3.717986,2.156116
4505,0.9494603,-0.2763236,0.03832535,0.02648686,327.4866,4.034204,2.019084
4506,0.9455713,-0.2894346,0.03781825,0.0263072,325.9052,3.977386,1.967234
4507,0.9425048,-0.2990998,0.03869022,0.02696196,324.7292,4.0711,1.982507
4508,0.937605,-0.3141318,0.03823439,0.02749409,322.8984,3.992743,2.018919
4509,0.9330426,-0.3267928,0.04391526,0.02663244,321.3431,4.838008,1.572145
4510,0.9256378,-0.3471054,0.04472603,0.02668303,318.842,4.99763,1.424959
4511,0.9029482,-0.4025381,0.03575019,0.03700686,311.8857,3.04601,3.33378
4512,0.8967677,-0.4163317,0.03288551,0.03733734,310.1419,2.530287,3.592089
4513,0.890586,-0.429037,0.03607108,0.03850741,308.499,2.932193,3.537068
4514,0.8874426,-0.4354891,0.0368617,0.03789616,307.6677,3.103159,3.365444
4515,0.8834078,-0.4436748,0.0361045,0.03794444,306.6127,2.953959,3.433431
4516,0.880963,-0.448427,0.0354371,0.03951651,305.9941,2.68667,3.767393
4517,0.8782721,-0.4535692,0.03168559,0.04369109,305.3335,1.620043,4.858452
4518,0.8688245,-0.4713289,0.02773941,0.04715165,303.0297,0.4026054,5.994399
4519,0.8514671,-0.501941,0.02783133,0.04779459,298.9631,359.9294,6.467164
4520,0.8197678,-0.5519684,0.02275962,0.0528517,292.1962,356.7437,9.566318
4521,0.8163595,-0.5567981,0.01834238,0.0565353,291.6019,354.7505,11.49189
4522,0.8207412,-0.5505078,0.01876457,0.05452309,292.4551,355.5215,10.59716
4523,0.8251233,-0.5436453,0.02331466,0.05547632,293.3505,356.7762,9.812847
4524,0.8210221,-0.5497644,0.0228126,0.05622458,292.5151,356.2779,10.32192
4525,0.8180283,-0.5543925,0.02260958,0.05447229,291.8684,356.3234,10.10591
4526,0.8092262,-0.5670989,0.02258964,0.05514979,290.0997,355.5739,10.89174
4527,0.8032694,-0.5756486,0.02101175,0.05427025,288.9146,354.8121,11.43783
4528,0.800788,-0.5792019,0.01932667,0.05376062,288.4341,354.1987,11.86465
4529,0.7954153,-0.5865973,0.01903749,0.05343856,287.389,353.647,12.35696
4530,0.7878835,-0.5968822,0.01960709,0.05085758,285.8925,353.621,12.20508
4531,0.7832891,-0.602981,0.01938266,0.04996071,285.0121,353.2386,12.48872
4532,0.7781349,-0.609505,0.02073554,0.05079007,284.0553,352.8451,13.05627
4533,0.773814,-0.6148682,0.02163455,0.05177728,283.2714,352.2879,13.76423
4534,0.7709424,-0.6185989,0.01957246,0.05098982,282.7582,351.2545,14.55962
4535,0.7686695,-0.6216259,0.01721806,0.04931327,282.3429,350.4269,15.05259
4536,0.7691356,-0.6210428,0.01950775,0.04853392,282.3763,351.7127,13.89147
4537,0.7705928,-0.6191898,0.02206409,0.04799695,282.5984,353.1664,12.60543
4538,0.7651244,-0.6260923,0.02068338,0.04653309,281.5947,352.2336,13.29861
4539,0.7631759,-0.6284079,0.02280918,0.04632182,281.2154,352.9474,12.74064
4540,0.7622288,-0.6295503,0.02470217,0.0454235,281.0085,354.0079,11.76102
4541,0.7624128,-0.6293598,0.02525104,0.04466833,281.0229,354.5731,11.17892
4542,0.7587553,-0.6339993,0.02310967,0.04243841,280.3473,353.8876,11.50151
4543,0.7584053,-0.6344731,0.02268756,0.04183755,280.2781,353.8685,11.4362
4544,0.7598472,-0.6327087,0.02624267,0.04028736,280.4844,356.4315,9.039021
4545,0.7601123,-0.6324526,0.02607561,0.03940757,280.5207,356.7303,8.654253
4546,0.7617275,-0.6305321,0.02624317,0.03887887,280.8042,357.1767,8.179332
4547,0.7667556,-0.6244237,0.02675128,0.03827712,281.7085,358.0466,7.305881
4548,0.7783697,-0.6100473,0.02630313,0.03592989,283.8335,359.2931,5.839772
4549,0.7836698,-0.6032543,0.02612397,0.03554348,284.8287,359.5572,5.534595
4550,0.7898082,-0.5951688,0.02591135,0.03613154,286.0054,359.5592,5.570714
4551,0.7936504,-0.5900757,0.02731446,0.03439951,286.7323,0.5604205,4.54696
4552,0.7979401,-0.5842965,0.02731146,0.03380894,287.5637,0.7898999,4.273866
4553,0.7972023,-0.5853825,0.02704405,0.03262379,287.4106,0.962235,3.980095
4554,0.7989664,-0.5830175,0.02721253,0.0316609,287.7503,1.259285,3.619441
4555,0.7993109,-0.5825264,0.02807161,0.03125558,287.8177,1.616946,3.299859
4556,0.8006179,-0.5808349,0.02609072,0.03099697,288.0688,1.087554,3.645179
4557,0.8055347,-0.5740728,0.02504108,0.0304495,289.0381,0.9647598,3.64186
4558,0.8097441,-0.5680175,0.02654759,0.0310779,289.8888,1.321344,3.468706
4559,0.8145831,-0.5610584,0.02576594,0.03168238,290.8721,1.054492,3.728201
4560,0.8280066,-0.5412933,0.02181066,0.03050959,293.6461,0.4503484,3.926007
4561,0.8323689,-0.5345668,0.02361473,0.02902605,294.5672,1.164376,3.246373
4562,0.8342865,-0.5314346,0.02781113,0.02774129,294.9863,2.342508,2.31608
4563,0.8373086,-0.526647,0.02841996,0.02737506,295.6416,2.53519,2.149769
4564,0.8428196,-0.5176487,0.02877131,0.02944808,296.861,2.331152,2.569649
4565,0.8450946,-0.514034,0.02737341,0.02889291,297.3571,2.107651,2.633599
4566,0.8484459,-0.5087554,0.02377115,0.02724464,298.0858,1.566822,2.738529
4567,0.8511699,-0.5041394,0.02436796,0.02755462,298.7053,1.667846,2.720068
4568,0.8525977,-0.5016443,0.02475019,0.02859415,299.0374,1.628216,2.883277
4569,0.856108,-0.495577,0.02400639,0.03009924,299.8505,1.324041,3.260414
4570,0.8628573,-0.4836786,0.02213886,0.0322779,301.4403,0.7825065,3.845896
4571,0.8668478,-0.4765271,0.02284686,0.03121907,302.3849,1.075921,3.533483
4572,0.8719761,-0.4671029,0.02269812,0.03093965,303.6267,1.127655,3.45994
4573,0.8752648,-0.4609436,0.02214603,0.03084807,304.4361,1.067951,3.474376
4574,0.8777429,-0.4562707,0.02199387,0.03000866,305.0481,1.142959,3.321789
4575,0.8787549,-0.4541671,0.02552745,0.0295023,305.3107,1.827748,2.900486
4576,0.8805277,-0.450703,0.0267154,0.02870518,305.7596,2.118672,2.649145
4577,0.8851097,-0.4416375,0.02564094,0.02965632,306.9365,1.867874,2.905405
4578,0.8900237,-0.4314312,0.02619536,0.03222823,308.2457,1.777794,3.285181
4579,0.8950008,-0.4210454,0.02665035,0.0313685,309.5779,1.95394,3.094642
